"distractor.target","lowCI","highCI","error"
-89,-0.950198315976034,1.10963928704598,0.068966935588347
-88,-0.921803984838903,1.19721304549715,0.135373417583453
-87,-1.21346935385689,1.19805415665941,-0.0217619998568689
-86,-1.65652280709743,0.850144528969973,-0.425075996609271
-85,-2.38388301295887,0.346461843014576,-1.03417943033749
-84,-1.76102774247607,0.759889217379255,-0.508814656076759
-83,-1.50156900489463,0.925512898525048,-0.277272654536925
-82,-1.25589511592176,1.07992742061031,-0.0879978296861808
-81,-1.56119043067738,0.911482533512203,-0.326851754163913
-80,-1.64616126841202,0.796489671908975,-0.405014421906998
-79,-1.73576422810644,0.561025677210598,-0.555290962165573
-78,-1.96336515145013,0.585448180544295,-0.641041730701382
-77,-2.02153392550224,0.452859802116902,-0.728496670201319
-76,-1.88721659955001,0.48752304581078,-0.703126802112301
-75,-2.09792037325857,0.17602817568792,-0.909211887994906
-74,-2.27469128657432,0.0300615808787913,-1.10070983263259
-73,-1.4263109399842,0.346532021444604,-0.56806247464011
-72,-1.37443922081932,0.244889813412481,-0.57798051405113
-71,-1.85852762191641,-0.162195259232654,-1.00569682054488
-70,-1.93965007794744,-0.266903829059585,-1.12064960965042
-69,-2.48582526147476,-0.424811446785906,-1.48400828494552
-68,-2.65849777165736,-0.0530149686613086,-1.34300359724444
-67,-2.8688613043265,-0.282473167442477,-1.5088307325818
-66,-3.50120500390519,-0.678612324837136,-1.8856126883192
-65,-4.38425531795841,-0.972104626495316,-2.45351662231992
-64,-3.86341000537039,-1.01407146402048,-2.27838092488727
-63,-4.25003555850827,-1.44259103823122,-2.72710716470652
-62,-4.16141594981667,-1.4534004399567,-2.72714104226844
-61,-4.20243709798897,-1.3675729316252,-2.68149773965703
-60,-4.04718523643471,-1.7772502809791,-2.89933910467968
-59,-4.16542808938517,-1.78384873467887,-2.93382938848614
-58,-4.31117909464096,-1.6372896687622,-2.96282165627265
-57,-4.2396059440644,-1.79807324045616,-3.01387957654536
-56,-3.92517120855262,-1.45790239409853,-2.65115126043122
-55,-3.74196826091941,-1.40923021190188,-2.55732342641409
-54,-3.70879082527163,-1.44992676024581,-2.58888675336107
-53,-3.80221450266879,-1.31914281464027,-2.49901995801709
-52,-3.28519574306537,-1.0774327989125,-2.12281479909527
-51,-3.31728420141236,-1.02611503354975,-2.14822252997724
-50,-2.92194547739616,-0.677056868720888,-1.77340016517952
-49,-2.89489098903396,-0.656638226743449,-1.73873353167974
-48,-3.07255171446719,-0.837918270886271,-1.94992723167825
-47,-3.1218587994916,-0.770028674736394,-1.9743541003534
-46,-2.97173137892272,-0.566962148432767,-1.77482169182169
-45,-3.45870191187749,-1.11559903678705,-2.30661070097898
-44,-3.47236438574959,-0.807928476923037,-2.10703878573135
-43,-3.49835437556808,-0.527223268291421,-1.99254606130876
-42,-3.12816128088068,-0.486850191757633,-1.82025716079998
-41,-2.99638260151481,-0.266269232856641,-1.64827438930262
-40,-2.7829628618861,0.029377975236257,-1.40412523649894
-39,-2.67367228953301,0.264061157364546,-1.18371768122716
-38,-2.56980788874878,0.570632938695359,-1.00137244436735
-37,-3.01637522418932,0.497902836657261,-1.26616868011988
-36,-3.26262820465784,0.108738676892699,-1.58553893420647
-35,-2.66609587343221,-0.0227211642780091,-1.32396937452155
-34,-2.34594823397819,0.241797423209026,-1.02159209005659
-33,-2.04740515627581,0.477882413033747,-0.772779933948012
-32,-1.56528547570578,0.812232077817529,-0.406889672122319
-31,-1.48735010485679,0.527472446489521,-0.49135707139187
-30,-1.490807043966,0.583299299108214,-0.443378788778979
-29,-1.6463102325575,0.377649880371255,-0.615446340251078
-28,-1.54469672954258,0.421012553403679,-0.554613773072176
-27,-2.43658871853838,0.195110398815233,-1.08255683654403
-26,-2.42984627486818,0.124341347655267,-1.11799295752268
-25,-2.36788755543049,0.380390837495751,-0.995747360170122
-24,-1.87785420923689,0.794550406107951,-0.610770782727616
-23,-1.75253522166818,0.835007514715502,-0.481024844435965
-22,-1.83256709072864,0.676670445814555,-0.588140723773781
-21,-1.94790301041915,0.508533746817064,-0.713320671589615
-20,-2.34323503930793,0.051471861439009,-1.16111642527596
-19,-1.80492076162771,0.307351598185631,-0.765598150289515
-18,-2.25145087903529,-0.160575082887377,-1.22180161949591
-17,-1.9043966540098,-0.0718051025392994,-0.972057541327948
-16,-2.14449849495238,-0.358174478879638,-1.22269860062311
-15,-2.39280071550329,-0.621045722534907,-1.45415252745327
-14,-2.0337197178533,-0.209380347294355,-1.08573403367572
-13,-1.86398219907503,-0.17535466534639,-0.989100256547478
-12,-1.91071739072422,-0.181436155595941,-1.00612109334099
-11,-1.93900815043168,-0.380034082154953,-1.12224805946219
-10,-1.88367635235588,-0.147219071991334,-0.985666994792188
-9,-1.99969418258517,-0.426224317192401,-1.1672540377348
-8,-1.93064292287542,-0.090794413905292,-0.967345265462388
-7,-1.94509677364813,0.0835875203488774,-0.856899916906753
-6,-1.76428321169238,0.0725416043160537,-0.834579524210191
-5,-1.31107832161546,0.303878258888406,-0.50885832028689
-4,-1.48648513017112,0.250241945294318,-0.617179025828102
-3,-1.08467311191391,0.653810326284983,-0.213857871917707
-2,-1.18959634120758,0.453040236525649,-0.359471012233367
-1,-1.16839121059794,0.87362082062876,-0.119360694853653
0,-0.998037650027405,0.879449082276309,-0.055729359242252
1,-0.704573341293004,1.03569862366446,0.173876438974242
2,-0.822094145393293,0.963111060032112,0.0799191094101498
3,-0.694827043557638,1.05088419572429,0.194075334170274
4,-0.768201965707574,0.836982438258782,0.0600335518637177
5,-1.06799541614292,0.704018183877433,-0.15725828903182
6,-0.88028772466617,1.0469300742881,0.120952926698408
7,-0.927797989663229,0.966825995324825,0.0548324371066541
8,-0.628247548629546,1.16406180738152,0.281748375946722
9,-0.534154487019625,1.31235693993855,0.368435027990623
10,-0.476335251969695,1.60246209918415,0.51544586468034
11,-0.0309649283512438,2.04240695485817,0.946822823296737
12,-0.119460753495308,1.80772098536142,0.738287414507724
13,-0.0915910182656006,1.82719260591426,0.791210007923757
14,-0.39577938799566,1.47108396545326,0.450567219862658
15,-0.0539864256388949,1.91772313114865,0.881131478719464
16,0.024913276061629,2.01900356976496,0.980128158760393
17,0.382054249984737,2.36827187462342,1.35043896340675
18,0.751982230965484,2.48901697733345,1.56985660603568
19,0.7308368819962,2.63123731498343,1.59668006561569
20,1.10734170615095,2.88112435977638,1.94955464708912
21,0.8465296619367,2.83026776672116,1.79186657289945
22,0.702651603315316,2.82341357698509,1.73595275720565
23,0.464330698655043,2.99475425210363,1.68958882393954
24,0.524520759127605,2.91179708260897,1.71934288993517
25,0.97596434235975,3.37638194546966,2.13576573848173
26,1.1655393079933,3.82159951118909,2.41887452604456
27,1.45565177839709,3.92910711577823,2.64817906207686
28,1.03919808543181,3.75309673195767,2.33891824382962
29,0.661213499698615,3.32951457436616,1.96482846966858
30,0.913939995806341,3.51612709954778,2.17110337732043
31,0.864683468105374,3.612525731777,2.16121960307381
32,0.59784860834667,3.64575735279299,2.02300385212018
33,0.311250748158387,3.38933452271161,1.76500307309181
34,0.513959082625299,3.46442964432265,1.9248259214638
35,0.429616666402637,3.41388508880385,1.86336088455155
36,0.345372783353085,3.24836340946393,1.76043825199228
37,0.428718712688161,3.21242045946915,1.76724279780812
38,0.0332890699587422,3.02292476552823,1.45398836626457
39,-0.00104118025506463,2.87262966375136,1.39442096672497
40,0.357449558018704,3.03384858011201,1.66476256174985
41,0.37755534343335,3.01964732481292,1.66108216834239
42,0.496809702800212,3.69260422150371,2.06268766575223
43,0.604455303661802,3.59709458041352,2.09611639246317
44,0.832524247151141,3.79074568124495,2.28509805646012
45,0.488041904355593,3.84774045893988,2.11560479072409
46,0.455534796611167,3.94776520478446,2.08406611428603
47,0.928431310670013,4.15549986172752,2.49356731756987
48,1.01882360109681,4.17425018189233,2.54719242779552
49,1.10575687655834,4.43838111970071,2.74124564773835
50,1.16692383680379,4.71438377905827,2.87822187255974
51,0.977997633302668,4.8248460929375,2.82360183496975
52,0.493117911276831,4.16286285184233,2.28470160164416
53,0.333127363474459,3.5673824530715,1.92479512961044
54,0.494757731889618,3.51188742354132,2.0000906169239
55,0.532909320916348,3.59417147042804,2.02481663942563
56,0.208942665642704,3.07704930283742,1.60287893147634
57,-0.11590408499186,2.79714744272015,1.28227268091697
58,-0.314200398525329,2.67310595338762,1.1111591754833
59,-0.49855552452421,2.62049744068471,0.987977512541541
60,-0.788618690239909,2.06952702635146,0.54492891245206
61,-0.437974794054203,2.47069087122571,0.927589640447276
62,-0.496296891540631,2.92261906066251,1.06335546902993
63,-0.299049506057944,2.43169067078632,0.969507090105632
64,-0.222380219194725,2.27068316067341,0.968072041558109
65,-0.246629419286221,2.54468821112334,1.10964420047489
66,-0.684038372247079,2.02952618483243,0.69847552489998
67,-0.838923867329789,1.87736464859233,0.533470709760678
68,-0.886135315001184,1.87598634131823,0.50681212571705
69,-0.849285511452092,1.95889168326845,0.538400018417158
70,-0.792882187591993,1.71835028258135,0.442286560028707
71,-0.64342058611692,1.9425770236473,0.612151687147227
72,-0.708113260311685,1.89684974937023,0.577400537655733
73,-0.841038499393356,1.84413757446402,0.505573721131615
74,-1.28093625559147,1.4303257003377,0.0610845051303425
75,-1.39770278981387,1.00694744676973,-0.224914146439333
76,-1.23122979339781,1.01048547029943,-0.096432550462685
77,-1.03217073104412,1.13045843543318,0.0696752454317724
78,-0.950342429961857,1.45368401230852,0.262378286479785
79,-0.524767551387714,1.77010528940093,0.626988172074175
80,-0.190631806657643,2.25838490356247,1.03627935186053
81,-0.0746744125195018,2.19903683827907,1.08300177195284
82,0.45752956450702,2.70837613617212,1.58263424747837
83,0.315593151926162,2.28997957913789,1.2596873246452
84,-0.0674903389431103,1.71764819480276,0.810846658737588
85,-0.0282366121513188,1.65768785243169,0.797324202714902
86,-0.137131444569314,1.70471270123096,0.779037466501014
87,-0.260697107219603,1.57564211176133,0.660621772097988
88,-0.390174380133746,1.63610269218293,0.596832777093674
89,-0.310632207798066,1.54796252168969,0.621672350493703
90,-0.476814703032333,1.37659475470862,0.421594137458686
