"kappa","distractor","mean_sd","sd_sd","se_sd","mean_sd_deg","se_sd_deg"
"high","none",0.290247371960379,0.110602592272209,0.0225766596080006,16.6299494280935,1.29354731104191
"high","ignore",0.346837974628218,0.126525161655141,0.0258268404731876,19.8723521210624,1.47976895727131
"high","attend",0.36690430196196,0.115954861202456,0.0236691869284387,21.0220679876138,1.35614451550575
"low","none",0.180429670654516,0.0422541398316075,0.00862509017563739,10.3378586274392,0.494181264983772
"low","ignore",0.216675201373928,0.0533269247586783,0.0108853129342127,12.4145745638733,0.623682489809556
"low","attend",0.258712074657114,0.073813735331959,0.0150671656310122,14.8231099869261,0.863284999881564
